District,Cases
Dhaka City,17998
Dhaka (District),1307
Gazipur,1115
Kishoreganj,233
Madaripur,175
Manikganj,165
Narayanganj,2333
Munshigonj,818
Narshingdi,184
Rajbari,90
Faridpur,240
Tangail,53
Shariatpur,125
Gopalganj,239
Chattogram,2662
Cox’s bazar,887
Cumilla,1038
B. Baria,121
Khagrachari,47
Laksmipur,142
Bandarban,39
Rangmati,66
Noakhali,726
Feni,242
Chandpur,178
Moulovi Bazar,100
Sunamganj,130
Hobiganj,170
Sylhet,465
Rangpur,469
Gaibandha,53
Nilphamari,138
Lalmonirhat,38
Kurigram,71
Dinajpur,179
Panchagar,52
Thakurgaon,65
Khulna,100
Jessore,153
Bagerhat,42
Narail,30
Magura,29
Meherpur,29
Satkhira,47
Jhenaidah,56
Kushtia,85
Chuadanga,101
Mymensingh,491
Jamalpur,209
Netrokona,225
Sherpur,87
Barguna,71
Bhola,55
Barishal,126
Potuakhali,87
Pirojpur,34
Jhalokathi,30
Joypurhat,163
Pabna,46
Chapainawabganj,62
Bogura,248
Natore,59
Naogaon,194
Sirajganj,40
Rajshahi,80
